,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,Area,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,Transaction_Price,Bathrooms,Furnishing,Parking,Year_built
0,Owner,0,0,2,BHK,1300.236407,1,1,"Ksfc Layout,Bangalore",12.96991,77.59796,5500000.0,2,Furnished,1,2019.0
1,Dealer,0,0,2,BHK,1275.0,1,1,"Vishweshwara Nagar,Mysore",12.274538,76.644605,5100000.0,2,Furnished,1,2016.0
2,Owner,0,0,2,BHK,933.1597222,1,1,"Jigani,Bangalore",12.778033,77.632191,4300000.0,2,Furnished,1,2014.0
3,Owner,0,1,2,BHK,929.9211427,1,1,"Sector-1 Vaishali,Ghaziabad",28.6423,77.3445,6250000.0,2,Furnished,1,2019.0
4,Dealer,1,0,2,BHK,999.009247,0,1,"New Town,Kolkata",22.5922,88.484911,6050000.0,2,Furnished,1,
5,Owner,0,0,3,BHK,1250.0,1,1,"South Chittoor,Kochi",10.03328,76.28257099999998,4200000.0,3,Furnished,1,2014.0
6,Dealer,0,0,3,BHK,1495.053957,1,1,"Sodala,Jaipur",26.916347,75.7956,6650000.0,3,Furnished,1,2019.0
7,Owner,0,1,3,BHK,1181.012946,1,1,"Kharar,Mohali",30.74,76.65,5200000.0,3,Furnished,1,2018.0
8,Dealer,0,1,2,BHK,1040.0,1,1,"Bileshivale,Bangalore",13.054202,77.674002,4160000.0,2,Furnished,1,2013.0
9,Owner,0,1,2,BHK,879.1208791000001,1,1,"Chromepet,Chennai",12.95161,80.14097,3600000.0,2,Furnished,1,2014.0
10,Owner,0,0,3,BHK,1350.308642,1,1,"Deshbandhu Para,Siliguri",26.724219,88.326357,3500000.0,3,Furnished,1,2013.0
11,Dealer,0,0,2,BHK,1333.010179,1,1,"Hebbal,Bangalore",13.04034,77.591347,11000000.0,2,Furnished,1,2016.0
12,Owner,0,0,2,BHK,927.1779023,1,1,"Garebhavipalya,Bangalore",12.96991,77.59796,4800000.0,2,Furnished,1,2011.0
13,Owner,0,1,2,BHK,1122.1719460000004,1,1,"Sector-119 Noida,Noida",28.587711,77.403123,6200000.0,2,Furnished,1,2019.0
14,Owner,0,0,1,BHK,649.9837504,1,1,"sanjay nagar,Raigad",13.0352,77.5772,2000000.0,1,Furnished,1,2012.0
15,Dealer,1,1,3,BHK,1394.117647,0,1,"Sector-150 Noida,Noida",28.429614,77.481711,7109999.999999999,3,Furnished,1,
16,Owner,0,0,3,BHK,1800.08471,1,1,"Jharapada,Bhubaneswar",20.275267000000003,85.86240699999998,8500000.0,3,Furnished,1,2018.0
17,Dealer,1,1,3,BHK,2124.896706,0,1,"Konanakunte,Bangalore",12.8855,77.5638,18000000.0,3,Furnished,1,
18,Owner,0,0,2,BHK,1100.0,1,1,"Nagpur Road,Wardha",21.15389,79.08306,2200000.0,2,Furnished,1,2011.0
19,Dealer,0,1,3,BHK,2178.649237,1,1,"Kogilu,Bangalore",13.092356,77.61346800000003,12000000.0,3,Furnished,1,2017.0
20,Owner,0,0,2,BHK,881.1435285,1,1,"Poonamallee,Chennai",13.05,80.11,4500000.0,2,Furnished,1,2013.0
21,Dealer,0,0,2,BHK,944.8818898,1,1,"Undri,Pune",18.452663,73.93104,4200000.0,2,Furnished,1,2014.0
